training on [gpu(0)]
epoch 287, loss 0.0889, train acc 0.969, test acc 0.944, time 33.0 sec
epoch 288, loss 0.0924, train acc 0.967, test acc 0.968, time 33.2 sec
epoch 289, loss 0.0889, train acc 0.969, test acc 0.970, time 32.9 sec
epoch 290, loss 0.0892, train acc 0.969, test acc 0.969, time 33.2 sec
epoch 291, loss 0.0888, train acc 0.969, test acc 0.970, time 33.0 sec
epoch 292, loss 0.0885, train acc 0.969, test acc 0.969, time 33.3 sec
epoch 293, loss 0.0884, train acc 0.969, test acc 0.969, time 33.4 sec
epoch 294, loss 0.0885, train acc 0.969, test acc 0.963, time 33.1 sec
epoch 295, loss 0.0895, train acc 0.969, test acc 0.970, time 33.1 sec
epoch 296, loss 0.0882, train acc 0.969, test acc 0.970, time 33.2 sec
epoch 297, loss 0.0888, train acc 0.969, test acc 0.970, time 33.2 sec
epoch 298, loss 0.0972, train acc 0.966, test acc 0.969, time 33.1 sec
epoch 299, loss 0.0885, train acc 0.969, test acc 0.970, time 33.7 sec
epoch 300, loss 0.0885, train acc 0.969, test acc 0.970, time 33.6 sec
epoch 301, loss 0.0880, train acc 0.969, test acc 0.970, time 33.3 sec
epoch 302, loss 0.0876, train acc 0.969, test acc 0.970, time 33.3 sec
epoch 303, loss 0.0894, train acc 0.968, test acc 0.970, time 33.2 sec
epoch 304, loss 0.0880, train acc 0.969, test acc 0.970, time 33.3 sec
epoch 305, loss 0.0878, train acc 0.969, test acc 0.970, time 33.4 sec
epoch 306, loss 0.0875, train acc 0.969, test acc 0.970, time 33.1 sec
epoch 307, loss 0.0884, train acc 0.969, test acc 0.970, time 33.3 sec
epoch 308, loss 0.0953, train acc 0.966, test acc 0.969, time 33.4 sec
epoch 309, loss 0.0880, train acc 0.969, test acc 0.970, time 33.1 sec
epoch 310, loss 0.0878, train acc 0.969, test acc 0.968, time 33.3 sec
epoch 311, loss 0.0877, train acc 0.969, test acc 0.970, time 33.2 sec
epoch 312, loss 0.0871, train acc 0.969, test acc 0.970, time 33.5 sec
epoch 313, loss 0.0888, train acc 0.969, test acc 0.969, time 33.4 sec
epoch 314, loss 0.0894, train acc 0.969, test acc 0.969, time 33.6 sec
epoch 315, loss 0.0874, train acc 0.969, test acc 0.969, time 33.6 sec
epoch 316, loss 0.0882, train acc 0.969, test acc 0.970, time 33.3 sec
epoch 317, loss 0.0879, train acc 0.969, test acc 0.969, time 33.6 sec
epoch 318, loss 0.0869, train acc 0.970, test acc 0.970, time 33.5 sec
epoch 319, loss 0.0877, train acc 0.969, test acc 0.970, time 33.3 sec
epoch 320, loss 0.0884, train acc 0.969, test acc 0.970, time 33.1 sec
epoch 321, loss 0.0870, train acc 0.969, test acc 0.970, time 33.5 sec
epoch 322, loss 0.0876, train acc 0.969, test acc 0.970, time 33.2 sec
epoch 323, loss 0.0873, train acc 0.969, test acc 0.970, time 33.6 sec
epoch 324, loss 0.0868, train acc 0.969, test acc 0.970, time 33.4 sec
epoch 325, loss 0.0879, train acc 0.969, test acc 0.970, time 33.1 sec
epoch 326, loss 0.0864, train acc 0.970, test acc 0.970, time 33.2 sec
epoch 327, loss 0.0869, train acc 0.969, test acc 0.970, time 33.3 sec
epoch 328, loss 0.0863, train acc 0.970, test acc 0.970, time 33.4 sec
epoch 329, loss 0.0880, train acc 0.969, test acc 0.970, time 33.7 sec
epoch 330, loss 0.0864, train acc 0.970, test acc 0.970, time 33.4 sec
epoch 331, loss 0.0865, train acc 0.970, test acc 0.970, time 33.0 sec
epoch 332, loss 0.0872, train acc 0.969, test acc 0.970, time 33.6 sec
epoch 333, loss 0.0862, train acc 0.970, test acc 0.970, time 33.4 sec
epoch 334, loss 0.0866, train acc 0.970, test acc 0.970, time 33.6 sec
epoch 335, loss 0.0865, train acc 0.970, test acc 0.970, time 33.7 sec
epoch 336, loss 0.0872, train acc 0.969, test acc 0.970, time 33.3 sec
epoch 337, loss 0.0867, train acc 0.970, test acc 0.969, time 33.2 sec
epoch 338, loss 0.0861, train acc 0.970, test acc 0.970, time 33.4 sec
epoch 339, loss 0.0878, train acc 0.969, test acc 0.970, time 33.2 sec
epoch 340, loss 0.0933, train acc 0.967, test acc 0.969, time 33.2 sec
epoch 341, loss 0.0862, train acc 0.970, test acc 0.970, time 33.3 sec
epoch 342, loss 0.0859, train acc 0.970, test acc 0.970, time 33.2 sec
epoch 343, loss 0.0867, train acc 0.969, test acc 0.970, time 33.4 sec
epoch 344, loss 0.0875, train acc 0.969, test acc 0.968, time 33.3 sec
epoch 345, loss 0.0865, train acc 0.970, test acc 0.970, time 33.2 sec
epoch 346, loss 0.0867, train acc 0.970, test acc 0.971, time 33.3 sec
epoch 347, loss 0.0862, train acc 0.970, test acc 0.971, time 33.4 sec
epoch 348, loss 0.0859, train acc 0.970, test acc 0.969, time 33.4 sec
epoch 349, loss 0.0873, train acc 0.969, test acc 0.970, time 33.2 sec
epoch 350, loss 0.0864, train acc 0.970, test acc 0.970, time 33.3 sec
